City,State,Origin,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
Springfield,Virginia,Colombia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Northbrook,Illinois,Iraq,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Providence,Rhode Island,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Fullerton,California,Bhutan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
East Greenwich,Rhode Island,Russia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Redondo Beach,California,Belarus,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Grand Forks,North Dakota,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Kalamazoo,Michigan,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Pullman,Washington,Iran,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Greeley,Colorado,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Otterville,Missouri,Ukraine,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Roswell,Georgia,Somalia,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
South Burlington,Vermont,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Charlottesville,Virginia,Kyrgyzstan,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Acworth,Georgia,Russia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Chamblee,Georgia,Cuba,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Vallejo,California,Iraq,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Whitehall,Ohio,Ethiopia,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
North Wales,Pennsylvania,Burma,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Lake Orion,Michigan,Iraq,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
Aberdeen,Maryland,Eritrea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
Brigantine,New Jersey,Iran,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Morton Grove,Illinois,Belarus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Carol Stream,Illinois,Somalia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nashville,Tennessee,Uganda,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Albany,New York,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Potomac,Maryland,Iraq,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
East Boston,Massachusetts,Iraq,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
New Windsor,Maryland,Sierra Leone,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kent,Washington,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Glendale,California,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Tonawanda,New York,Ukraine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Morganville,New Jersey,Uzbekistan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Devon,Pennsylvania,Iran,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Ypsilanti,Michigan,Iran,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pleasant Ridge,Michigan,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Tehama,California,Togo,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Kent,Washington,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Centreville,Virginia,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Jacksonville,Florida,Nepal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
Palatine,Illinois,Iran,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Clinton Township,Michigan,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Vienna,Virginia,Russia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Southampton,Pennsylvania,Russia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cherry Hill,New Jersey,Cuba,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Pine Hill,New Jersey,Russia,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Santa Rosa,California,Russia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ozone Park,New York,China,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Rice,Virginia,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Pensacola,Florida,Ukraine,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Moline,Illinois,Rwanda,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Wheatfield,New York,Ukraine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Van Nuys,California,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Clive,Iowa,Bosnia and Herzegovina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Covington,Ohio,Bosnia and Herzegovina,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Clinton Township,New Jersey,Latvia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Glen Allen,Virginia,Vietnam,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Newark,New Jersey,Iraq,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
Dayton,Ohio,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Woodbridge,Virginia,Sudan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lansdowne,Pennsylvania,Vietnam,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Lynchburg,Virginia,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Conesville,Iowa,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Strafford,Pennsylvania,Ukraine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Seattle,Washington,Croatia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mentor,Ohio,Ukraine,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Apex,North Carolina,Iraq,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Hilltop,Minnesota,Iraq,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Roslyn,Pennsylvania,Rwanda,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Tempe,Arizona,Bosnia and Herzegovina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Southampton,New York,Bosnia and Herzegovina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
West Chester,Pennsylvania,Burma,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Lancaster,Pennsylvania,Palestine,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Russellville,Alabama,Cuba,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Slidell,Louisiana,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Philadelphia,Pennsylvania,Guinea,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
Medford,Massachusetts,Iran,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dearborn,Michigan,Yemen,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Chattanooga,Tennessee,Croatia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Minoa,New York,Ukraine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Richardson,Texas,China,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Twin Falls,Idaho,Turkmenistan,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Mount Pleasant,South Carolina,Burma,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fort Worth,Texas,Uganda,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Greensboro,North Carolina,Uzbekistan,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Walnut Creek,California,Belarus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
Bedford,Kentucky,Cuba,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Pennsauken,New Jersey,Rwanda,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
West Bloomfield,Michigan,Uzbekistan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Burlington,Vermont,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Hillsborough,California,Kazakhstan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pikesville,Maryland,Burma,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Aurora,Colorado,Cuba,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Stuart,Florida,Burma,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
Sacramento,California,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Owings Mills,Maryland,Belarus,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Jamaica,New York,Ukraine,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Hightstown,New Jersey,Eritrea,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Matthews,North Carolina,Cuba,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Clermont,Florida,Eritrea,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Erie,Pennsylvania,Sri Lanka (Ceylon),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Goldsboro,North Carolina,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
Grand Rapids,Michigan,Croatia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Shorewood,Wisconsin,Belarus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arvada,Colorado,Ethiopia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Commerce,Michigan,Ukraine,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Silver Spring,Maryland,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Lakewood,Ohio,Bosnia and Herzegovina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Paragould,Arkansas,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Sunny Isles Beach,Florida,Uzbekistan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jacksonville,Florida,Ivory Coast,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Queens,New York,Russia,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Highland,California,Ukraine,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lynn,Massachusetts,Ghana,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sandy,Utah,Serbia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Alexandria,Louisiana,Congo,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Baltimore,Maryland,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Southfield,Michigan,Laos,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Exeter,California,Iran,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Winter Garden,Florida,Russia,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Chattanooga,Tennessee,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Turlock,California,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Lewis Center,Ohio,Somalia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
West Columbia,South Carolina,Bosnia and Herzegovina,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Langhorne,Pennsylvania,Ukraine,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lancaster,Pennsylvania,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Avondale,Arizona,Dem. Rep. Congo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
Missouri City,Texas,Burma,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Burnsville,Minnesota,Moldova,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Egg Harbor City,New Jersey,Sierra Leone,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
West Roxbury,Massachusetts,Cuba,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Valley Village,California,Azerbaijan,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Haddon Heights,New Jersey,Iraq,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Kingsley,Michigan,Ukraine,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Glastonbury,Connecticut,Ethiopia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Saint George,Utah,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Holyoke,Colorado,Cuba,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Moreno Valley,California,Vietnam,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Shoreline,Washington,Somalia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Irving,Texas,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Springfield,Massachusetts,Estonia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Carmel,Indiana,Laos,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Wilmington,North Carolina,Iraq,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Largo,Florida,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Canton,Georgia,Bhutan,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Princeton,New Jersey,Russia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sunny Isles Beach,Florida,Cuba,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Twin Falls,Idaho,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Dallas,Texas,Ukraine,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
North Royalton,Ohio,Russia,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Charleston,South Carolina,Cuba,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Parlin,New Jersey,Ukraine,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Bainbridge Island,Washington,Burma,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Riverdale,Illinois,Liberia,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Urbana,Illinois,Ukraine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pflugerville,Texas,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Frankfort,New York,Ukraine,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Euless,Texas,Cuba,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Steilacoom,Washington,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Waverly,Nebraska,Lithuania,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harrisonburg,Virginia,Liberia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
East Bethel,Minnesota,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Dover,New Hampshire,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Galloway,New Jersey,Liberia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chagrin Falls,Ohio,Russia,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Daly City,California,Belarus,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Far Rockaway,New York,Sierra Leone,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Henrietta,New York,Afghanistan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Springfield,Oregon,Russia,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Gallatin,Tennessee,Republic of South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Barnesville,Minnesota,Ukraine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arlington,Massachusetts,Russia,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Dickson City,Pennsylvania,Burma,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Cherokee,Iowa,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Walnut Creek,California,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Webster,New York,Belarus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Wayland,Michigan,Sudan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Millers,Maryland,Ukraine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Wilmington,Delaware,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Glenoaks,California,Iran,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Austin,Minnesota,Cuba,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Ferguson,Missouri,Cuba,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Adelphi,Maryland,Liberia,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Woonsocket,Rhode Island,Iraq,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
San Jose,California,Azerbaijan,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Medford,Massachusetts,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
New Haven,Connecticut,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Guymon,Oklahoma,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Tampa,Florida,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
Huntington Beach,California,Burma,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Portland,Maine,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Franklin Park,Illinois,Iraq,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Providence,Rhode Island,Nepal,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
University Place,Washington,Iran,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Richardson,Texas,Belarus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Grand Forks,North Dakota,Lebanon,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Palm Beach,Florida,Burundi,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kent,Washington,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Boise,Idaho,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Linden,New Jersey,Syria,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Lawrenceville,Georgia,Eritrea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
Honolulu,Hawaii,China,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Egg Harbor,New Jersey,Cuba,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Roxbury,Massachusetts,Vietnam,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sun Valley,California,Cuba,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Asheville,North Carolina,Eritrea,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Kenner,Louisiana,Bosnia and Herzegovina,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Etters,Pennsylvania,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Lafayette,Louisiana,China,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Pineville,North Carolina,Russia,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Corona,California,Ukraine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
La Grange,Illinois,Iran,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Hialeah,Florida,Burma,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Saint Paul,Minnesota,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Carpentersville,Illinois,Iraq,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
North Bellmore,New York,Iran,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sunnyside,New York,Iran,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Jacksonville,Florida,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Kirkland,Washington,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Silver Spring,Maryland,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Newark,California,China,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Boise,Idaho,Azerbaijan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Woodbury,Minnesota,Somalia,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
High Point,North Carolina,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
North Lauderdale,Florida,Iran,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Puyallup,Washington,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Euclid,Ohio,Russia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Wallace,Michigan,Moldova,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Olathe,Kansas,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
Lacey,Washington,Vietnam,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Des Moines,Washington,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Naperville,Illinois,Azerbaijan,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Tulsa,Oklahoma,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Fort Sill,Oklahoma,Iraq,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Charlotte,North Carolina,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Atlanta,Georgia,Algeria,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
De Witt,New York,Serbia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Edgewater,Maryland,Iraq,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Scottsdale,Arizona,Azerbaijan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Anacortes,Washington,Iran,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Puyallup,Washington,Iraq,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Warsaw,Indiana,Liberia,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Grand Junction,Colorado,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Bridgeport,Connecticut,Belarus,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
San Rafael,California,Vietnam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vancouver,Washington,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Palos Verdes Peninsula,California,Iran,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Lake Worth,Florida,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Whittier,California,Vietnam,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Somerset,New Jersey,Colombia,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gahanna,Ohio,Eritrea,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
East Lansing,Michigan,Liberia,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Palo Alto,California,Iran,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fort Pierce,Florida,Afghanistan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rolling Meadows,Illinois,Belarus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fircrest,Washington,Ukraine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Battle Creek,Michigan,Moldova,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Auburn,Georgia,Liberia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Campbell,California,Ukraine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bronx,New York,Somalia,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Burien,Washington,Ethiopia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Redmond,Washington,Moldova,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Independence,Kansas,Iran,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Weyers Cave,Virginia,Sierra Leone,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Arlington,Virginia,Turkmenistan,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
